objectid,parentid,anthology,title,creator,date,subject,startpage,genre,publisher,display_template,object_location,image_small,image_thumb,location,latitude,longitude,authorbio,authorborn
blacklesbianauthor256,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Preface to the Rutgers University Press Edition,Barbara Smith,1999,,-17,preface,,image/jpeg,/objects/blacklesbianauthor256.jpeg,/object/small/blacklesbianauthor256_sm.jpeg,/objects/thumbs/blacklesbianauthor256_th.jpeg,,,,,
blacklesbianauthor191,anthology009,The Black Woman: An Anthology,And What About the Children,Audre Lorde,1968,,19,poem,,image/jpeg,/objects/blacklesbianauthor191.jpeg,/objects/small/blacklesbianauthor191_sm.jpeg,/objects/thumbs/blacklesbianauthor191_th.jpeg,,,,,
blacklesbianauthor192,anthology009,The Black Woman: An Anthology,Naturally,Audre Lorde,1968,,18,poem,,image/jpeg,/objects/blacklesbianauthor192.jpeg,/objects/small/blacklesbianauthor192_sm.jpeg,/objects/thumbs/blacklesbianauthor192_th.jpeg,,,,,
blacklesbianauthor204,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),Brownness,Andrea Canaan,1981,,232,essay,,image/jpeg,/objects/blacklesbianauthor204.jpeg,/objects/small/blacklesbianauthor204_sm.jpeg,/objects/thumbs/blacklesbianauthor204_th.jpeg,,,,,
blacklesbianauthor205,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Black Back-Ups,Kate Rushin,1983,,78,poem,,image/jpeg,/objects/blacklesbianauthor205.jpeg,/objects/small/blacklesbianauthor205_sm.jpeg,/objects/thumbs/blacklesbianauthor205_th.jpeg,,,,,
blacklesbianauthor206,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,1979,,106,poem,,image/jpeg,/objects/blacklesbianauthor206.jpeg,/objects/small/blacklesbianauthor206_sm.jpeg,/objects/thumbs/blacklesbianauthor206_th.jpeg,,,,,
blacklesbianauthor207,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),To Be Continued...,Kate Rushin,1993,,109,poem,,image/jpeg,/objects/blacklesbianauthor207.jpeg,/objects/small/blacklesbianauthor207_sm.jpeg,/objects/thumbs/blacklesbianauthor207_th.jpeg,,,,,
blacklesbianauthor209,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Bridge Poem,Kate Rushin,1993,,-33,poem,,image/jpeg,/objects/blacklesbianauthor209.jpeg,/objects/small/blacklesbianauthor209_sm.jpeg,/objects/thumbs/blacklesbianauthor209_th.jpeg,,,,,
blacklesbianauthor220,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa davenport,1980,,81,essay,,image/jpeg,/objects/blacklesbianauthor220.jpeg,/objects/small/blacklesbianauthor220_sm.jpeg,/objects/thumbs/blacklesbianauthor220_th.jpeg,,,,,
blacklesbianauthor221,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),An Open Letter to Mary Daly,Audre Lorde,1980,,90,letter,,image/jpeg,/objects/blacklesbianauthor221.jpeg,/objects/small/blacklesbianauthor221_sm.jpeg,/objects/thumbs/blacklesbianauthor221_th.jpeg,,,,,
blacklesbianauthor222,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,1980,,94,essay,,image/jpeg,/objects/blacklesbianauthor222.jpeg,/objects/small/blacklesbianauthor222_sm.jpeg,/objects/thumbs/blacklesbianauthor222_th.jpeg,,,,,
blacklesbianauthor223,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara Smith; Beverly Smith,1981,,106,conversation,,image/jpeg,/objects/blacklesbianauthor223.jpeg,/objects/small/blacklesbianauthor223_sm.jpeg,/objects/thumbs/blacklesbianauthor223_th.jpeg,,,,,
blacklesbianauthor224,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),Lesbianism: An Act of Resistance,Cheryl Clarke,1981,,126,essay,,image/jpeg,/objects/blacklesbianauthor224.jpeg,/objects/small/blacklesbianauthor224_sm.jpeg,/objects/thumbs/blacklesbianauthor224_th.jpeg,,,,,
blacklesbianauthor225,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),Millicent Fredericks,Gabrielle Daniels,1981,,173,essay,,image/jpeg,/objects/blacklesbianauthor225.jpeg,/objects/small/blacklesbianauthor225_sm.jpeg,/objects/thumbs/blacklesbianauthor225_th.jpeg,,,,,
blacklesbianauthor226,anthology008,This Bridge Called My Back: Writings By Radical Women of Color (4ed),Revolution: It's Not Neat or Pretty or Quick,Pat Parker,1980,,238,speech,,image/jpeg,/objects/blacklesbianauthor226.jpeg,/objects/small/blacklesbianauthor226_sm.jpeg,/objects/thumbs/blacklesbianauthor226_th.jpeg,,,,,
blacklesbianauthor193,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),An Open Letter to Mary Daly,Audre Lorde,1980,,94,letter,,image/jpeg,/objects/blacklesbianauthor193.jpeg,/objects/small/blacklesbianauthor193_sm.jpeg,/objects/thumbs/blacklesbianauthor193_th.jpeg,,,,,
blacklesbianauthor194,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,1980,,98,essay,,image/jpeg,/objects/blacklesbianauthor194.jpeg,/objects/small/blacklesbianauthor194_sm.jpeg,/objects/thumbs/blacklesbianauthor194_th.jpeg,,,,,
blacklesbianauthor195,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara Smith; Beverly Smith,1981,,113,conversation,,image/jpeg,/objects/blacklesbianauthor195.jpeg,/objects/small/blacklesbianauthor195_sm.jpeg,/objects/thumbs/blacklesbianauthor195_th.jpeg,,,,,
blacklesbianauthor196,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),Lesbianism: An Act of Resistance,Cheryl Clarke,1981,,128,essay,,image/jpeg,/objects/blacklesbianauthor196.jpeg,/objects/small/blacklesbianauthor196_sm.jpeg,/objects/thumbs/blacklesbianauthor196_th.jpeg,,,,,
blacklesbianauthor197,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,,210,manifesto,,image/jpeg,/objects/blacklesbianauthor197.jpeg,/objects/small/blacklesbianauthor197_sm.jpeg,/objects/thumbs/blacklesbianauthor197_th.jpeg,,,,,
blacklesbianauthor198,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa davenport,1980,,85,essay,,image/jpeg,/objects/blacklesbianauthor198.jpeg,/objects/small/blacklesbianauthor198_sm.jpeg,/objects/thumbs/blacklesbianauthor198_th.jpeg,,,,,
blacklesbianauthor199,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),Millicent Fredericks,Gabrielle Daniels,1981,,76,essay,,image/jpeg,/objects/blacklesbianauthor199.jpeg,/objects/small/blacklesbianauthor199_sm.jpeg,/objects/thumbs/blacklesbianauthor199_th.jpeg,,,,,
blacklesbianauthor200,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),billie lives! billie lives!,hattie gosset,1980,,109,essay,,image/jpeg,/objects/blacklesbianauthor200.jpeg,/objects/small/blacklesbianauthor200_sm.jpeg,/objects/thumbs/blacklesbianauthor200_th.jpeg,,,,,
blacklesbianauthor201,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),who told you anbody wants to hear from you? you ain't nothing but a black woman!,hattie gosset,1980,,175,essay,,image/jpeg,/objects/blacklesbianauthor201.jpeg,/objects/small/blacklesbianauthor201_sm.jpeg,/objects/thumbs/blacklesbianauthor201_th.jpeg,,,,,
blacklesbianauthor202,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),The Bridge Poem,Kate Rushin,1981,,-21,poem,,image/jpeg,/objects/blacklesbianauthor202.jpeg,/objects/small/blacklesbianauthor202_sm.jpeg,/objects/thumbs/blacklesbianauthor202_th.jpeg,,,,,
blacklesbianauthor203,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),Revolution: It's Not Neat or Pretty or Quick,Pat Parker,1980,,238,speech,,image/jpeg,/objects/blacklesbianauthor203.jpeg,/objects/small/blacklesbianauthor203_sm.jpeg,/objects/thumbs/blacklesbianauthor203_th.jpeg,,,,,
blacklesbianauthor219,anthology007,This Bridge Called My Back: Writings By Radical Women of Color (1ed),Brownness,Andrea Canaan,1981,,232,essay,,image/jpeg,/objects/blacklesbianauthor219.jpeg,/objects/small/blacklesbianauthor219_sm.jpeg,/objects/thumbs/blacklesbianauthor219_th.jpeg,,,,,
blacklesbianauthor019,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),Researching Alice Dunbar-Nelson: A Personal and Literary Persepective,Akasha Gloria T. Hull,1981,,189,essay,,image/jpeg,/objects/blacklesbianauthor019.jpeg,/objects/small/blacklesbianauthor019_sm.jpeg,/objects/thumbs/blacklesbianauthor019_th.jpeg,,,,,
blacklesbianauthor020,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),Introduction: The Politics of Black Women's Studies,Akasha Gloria T. Hull; Barbara Smith,1982,,-17,introduction,,image/jpeg,/objects/blacklesbianauthor020.jpeg,/objects/small/blacklesbianauthor020_sm.jpeg,/objects/thumbs/blacklesbianauthor020_th.jpeg,,,,,
blacklesbianauthor021,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),Toward a Black Feminist Criticism,Barbara Smith,1977,,157,essay,,image/jpeg,/objects/blacklesbianauthor021.jpeg,/objects/small/blacklesbianauthor021_sm.jpeg,/objects/thumbs/blacklesbianauthor021_th.jpeg,,,,,
blacklesbianauthor022,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),Racism and Women's Studies,Barbara Smith,1979,,48,essay,,image/jpeg,/objects/blacklesbianauthor022.jpeg,/objects/small/blacklesbianauthor022_sm.jpeg,/objects/thumbs/blacklesbianauthor022_th.jpeg,,,,,
blacklesbianauthor023,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),Black Women's Health: Notes for a Course,Beverly Smith,1982,,103,syllabus notes,,image/jpeg,/objects/blacklesbianauthor023.jpeg,/objects/small/blacklesbianauthor023_sm.jpeg,/objects/thumbs/blacklesbianauthor023_th.jpeg,,,,,
blacklesbianauthor024,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),"Face-to-Face, Day-to-Day—Racism CR",Tia Cross; Freada Klein; Barbara Smith; Beverly Smith,1983,,52,consciousness-raising,,image/jpeg,/objects/blacklesbianauthor024.jpeg,/objects/small/blacklesbianauthor024_sm.jpeg,/objects/thumbs/blacklesbianauthor024_th.jpeg,,,,,
