objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor068,Miss Ruth,Terri Jewell,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,189,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor069,Long Way Home,Tiffany Frazier,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,165,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor070,I Guess I Never Will,Tonda Clarke,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,117,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor071,Pure,Tonia Bryan,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,213,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor072,"The Words I Know, the Way I Understand",Tonia Bryan,,record,,,,,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,249,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
blacklesbianauthor073,"""Under the Days"":The Buried Life and Poetry of Angeline Weld Grimké",Akasha Gloria T. Hull,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,73,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor074,What It Is I Think She's Doing Anyhow: A Reading of Toni Cade Bambara's _The Salt Eaters,Akasha Gloria T. Hull,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,124,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor075,Poem,Akasha Gloria T. Hull,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,-57,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor076,The Sisters,Alexis De Veaux,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,10,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor077,The Black Lesbian in American Literature: An Overview,Ann Allen Shockley,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,83,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
